owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
jitsi/jitsi,JAVA,help-wanted,1.490E-02,False,-0.1031992,negligible,False,Min=0;Median=0.000;Mean=0.152;Max=2;std_dev=0.376,Min=0;Median=0.000;Mean=0.284;Max=2;std_dev=0.534
jMonkeyEngine/jmonkeyengine,JAVA,Contribution welcome,4.679E-01,False,0.04949992,negligible,False,Min=0;Median=0.000;Mean=0.354;Max=3;std_dev=0.621,Min=0;Median=0.000;Mean=0.294;Max=2;std_dev=0.576
junit-team/junit5,JAVA,up-for-grabs,4.904E-10,False,0.4789454,large,False,Min=0;Median=1.000;Mean=0.772;Max=5;std_dev=0.967,Min=0;Median=0.000;Mean=0.038;Max=1;std_dev=0.192
k9mail/k-9,JAVA,help wanted,9.127E-01,True,-0.005037545,negligible,False,Min=0;Median=0.000;Mean=0.792;Max=13;std_dev=1.229,Min=0;Median=0.000;Mean=0.715;Max=5;std_dev=0.892
languagetool-org/languagetool,JAVA,easy fix,,,,,True,,
LawnchairLauncher/Lawnchair,JAVA,help wanted,,,,,True,,
libgdx/libgdx,JAVA,good first issue,2.200E-16,False,-0.447934,medium,False,Min=0;Median=1.000;Mean=0.969;Max=5;std_dev=1.071,Min=0;Median=2.000;Mean=2.145;Max=9;std_dev=1.618
liquibase/liquibase,JAVA,hacktoberfest,7.448E-03,False,0.1737107,small,False,Min=0;Median=1.000;Mean=1.678;Max=9;std_dev=1.688,Min=0;Median=1.000;Mean=1.139;Max=5;std_dev=1.167
micronaut-projects/micronaut-core,JAVA,help wanted,,,,,True,,
MinecraftForge/MinecraftForge,JAVA,Help Wanted,1.144E-01,False,0.08970565,negligible,False,Min=0;Median=2.000;Mean=1.851;Max=9;std_dev=1.610,Min=0;Median=1.000;Mean=1.639;Max=7;std_dev=1.554
mockito/mockito,JAVA,please contribute,5.600E-08,False,0.2643973,small,False,Min=0;Median=1.000;Mean=0.854;Max=5;std_dev=0.978,Min=0;Median=0.000;Mean=0.411;Max=3;std_dev=0.711
MovingBlocks/Terasology,JAVA,Good First Issue,3.800E-08,False,0.4054075,medium,False,Min=0;Median=0.000;Mean=0.669;Max=6;std_dev=0.947,Min=0;Median=0.000;Mean=0.038;Max=1;std_dev=0.194
naver/pinpoint,JAVA,help wanted,,,,,True,,
netty/netty,JAVA,help wanted,2.200E-16,False,0.533911,large,False,Min=0;Median=2.000;Mean=1.852;Max=7;std_dev=1.390,Min=0;Median=0.000;Mean=0.635;Max=4;std_dev=0.874
nextcloud/android,JAVA,good first issue,,,,,True,,
oblac/jodd,JAVA,help needed,6.486E-01,True,-0.01423753,negligible,False,Min=0;Median=0.000;Mean=0.130;Max=2;std_dev=0.348,Min=0;Median=0.000;Mean=0.153;Max=3;std_dev=0.410
open-keychain/open-keychain,JAVA,help wanted,2.046E-04,False,0.1696649,small,False,Min=0;Median=0.000;Mean=0.336;Max=6;std_dev=0.755,Min=0;Median=0.000;Mean=0.071;Max=1;std_dev=0.259
OpenAPITools/openapi-generator,JAVA,help wanted,,,,,True,,
oracle/graal,JAVA,help wanted,,,,,True,,
owncloud/android,JAVA,Junior Job,,,,,True,,
